time, x, y
1497592723, -3.63053921755, 5.12017070693
1497592810, -3.615561589, 5.12638501788
1497592812, -3.61451182446, 5.13024249713
1497592815, -3.49163098015, 5.29333062269
1497592828, -3.44075174068, 5.38241652555
1497592830, -3.44190986626, 5.38786231237
1497592860, -3.44637092581, 5.3668142118
1497592860, -3.44926612321, 5.37145053423
1497592860, -3.44835346905, 5.36492298834
1497592860, -3.45074985079, 5.36794404673
1497592860, -3.45214742976, 5.36363360285
1497592861, -3.45018378283, 5.36825349517
1497592861, -3.45468850696, 5.37520513056
1497592863, -3.61122337867, 5.39255711756
1497592864, -3.87838228362, 5.40633576038
1497592865, -4.140273347, 5.41592596388
1497592866, -4.41065879136, 5.41550832773
1497592867, -4.67128604675, 5.40948250273
1497592868, -4.93645332875, 5.40650813672
1497592869, -5.20054304941, 5.39688311713
1497592870, -5.468309026, 5.38599114367
1497592871, -5.7369994691, 5.36837275724
1497592871, -6.00231697718, 5.34796940468
1497592872, -6.2663866835, 5.32631270822
1497592873, -6.52869637214, 5.31347005987
1497592874, -6.79558826293, 5.30279720832
1497592875, -7.05934857747, 5.27878377412
1497592876, -7.32117884262, 5.26124777288
1497592877, -7.58483804822, 5.24261454498
1497592878, -7.84978658198, 5.23757511276
1497592880, -8.0734707923, 5.24724347925
1497592881, -8.09969668843, 5.25895940701
1497592882, -8.11285789786, 5.26975029044
1497592883, -8.12092899238, 5.27977188556
1497592884, -8.13365892531, 5.29094801428
1497592884, -8.14079608257, 5.30360920463
1497592886, -8.14495694439, 5.31854840761
1497592887, -8.1490730412, 5.33990447288
1497592888, -8.14508679272, 5.35185250944
1497592889, -8.14184267297, 5.359168127
1497592890, -8.13697759532, 5.36488426598
1497592890, -8.13249104873, 5.37468986996
1497592894, -7.89885614483, 5.50645981855
1497592895, -7.65738475955, 5.62263511479
1497592896, -7.41655120808, 5.71627590853
1497592897, -7.17373899248, 5.7998269558
1497592898, -6.93053754048, 5.88014777541
1497592899, -6.68131427736, 5.92169332324
1497592900, -6.42462835583, 5.95183372377
1497592901, -6.29176464295, 5.94508154668
1497592901, -6.23135186186, 5.90460565466
1497592903, -5.94589890334, 5.76200196719
1497592905, -5.7462656996, 5.67004130839
1497592906, -5.66128633218, 5.66365947012
1497592908, -5.44614032625, 5.66534745236
1497592909, -5.38809250137, 5.68458033983
1497592910, -5.15158767526, 5.785971521
1497592911, -4.96362175019, 5.89823785635
1497592913, -4.7520995401, 6.08756560729
1497592914, -4.69409250755, 6.16250894327
1497592915, -4.64893041954, 6.28371091385
1497592916, -4.59053323573, 6.5483283804
1497592917, -4.59173429971, 6.77037284468
1497592918, -4.6469736775, 7.02175445208
1497592919, -4.72442346506, 7.2824507598
1497592920, -4.80524463625, 7.5272332932
1497592921, -4.91123462922, 7.77738479166
1497592922, -5.06057595769, 7.99617360525
1497592923, -5.18285350228, 8.11884377347
1497592923, -5.21430026637, 8.14183171961
1497592925, -5.47339794536, 8.23475465427
1497592926, -5.73876883968, 8.29573031071
1497592927, -5.99308677675, 8.30670537671
1497592927, -6.2482601997, 8.30094386374
1497592928, -6.50228275368, 8.29776631385
1497592929, -6.75959220414, 8.29746877005
1497592933, -7.01403389511, 8.3011261763
1497592934, -7.27011011926, 8.34978981564
1497592935, -7.53153768556, 8.40169550447
1497592936, -7.79407996433, 8.45444807949
1497592937, -8.06323339874, 8.52246495391
1497592938, -8.33154917467, 8.59645247314
1497592940, -8.60428617302, 8.69192854396
1497592941, -8.86894846872, 8.79884362455
1497592943, -8.98729903697, 8.86390861736
1497592944, -9.07975267224, 8.97111300838
1497592946, -9.16612647893, 9.09460445078
1497592947, -9.2538585557, 9.32227396918
1497592947, -9.28545918682, 9.45768027328
1497592948, -9.27104079081, 9.70249975317
1497592949, -9.24865860265, 9.94542743247
1497592953, -9.22682387966, 10.1971030333
1497592961, -9.2324351678, 10.2347346235
1497592963, -9.24228508858, 10.2337333731
1497592964, -9.24345956616, 10.2405027004
1497592965, -9.24472031966, 10.2389923616
1497592967, -9.23163877294, 10.2447584406
1497592968, -9.2182447155, 10.2526548427
1497592969, -9.21630153689, 10.2459618135
1497592969, -9.20436508718, 10.2486182908
1497592970, -9.15556634853, 10.2376636293
1497592971, -9.12537441436, 10.2122691073
1497592972, -9.08093785806, 10.1791874616
1497592973, -8.96096945248, 10.0073293583
1497592981, -8.96804367374, 10.0209804618
1497592983, -8.96520624626, 9.99424322707
1497592984, -8.96424699921, 9.89040011663
1497592985, -8.98193562256, 9.62966763268
1497592986, -9.00742514042, 9.3731960188
1497592988, -9.02643015876, 9.11369167127
1497592990, -9.01784101295, 8.99437327147
1497592992, -8.99051653207, 8.89080001424
1497592995, -8.96719152282, 8.84045274704
1497592996, -8.80822105166, 8.63373829038
1497592997, -8.75698601474, 8.58753483562
1497592998, -8.59302350247, 8.49655791944
1497592999, -8.31883478559, 8.40381484419
1497593000, -8.05444581259, 8.34173489317
1497593001, -7.80175968043, 8.33907592206
1497593002, -7.55928280871, 8.36672316741
1497593003, -7.31666669389, 8.40694960273
1497593004, -7.0699074685, 8.45725170498
1497593005, -6.82409147667, 8.50825701907
1497593010, -6.57309965729, 8.56193318451
1497593035, -6.52522011925, 8.57649569485
1497593035, -6.54840587442, 8.58280745032
